Board Name,Meeting Schedule,Meeting Location,Contact Email,Board URL,Additional URL
Mebane Planning Board,6:30 pm Second Monday of every month (if necessary),Mebane Town Hall,cstober@cityofmebane.com,https://www4.orangecountync.gov/boards/indivbd.asp?BoardID=32,http://www.cityofmebane.com/city_hall/boards/planning_board
Nursing Home Community Advisory Committee,5:30 pm First Tuesday of every other month,"Seymour Center, 2551 Homestead Rd., Chapel Hill",acox@tjcog.org,https://www4.orangecountync.gov/boards/indivbd.asp?BoardID=4,https://www.orangecountync.gov/272/Nursing-Home-Community-Advisory-Committee
Orange County Board of Adjustment (REQUIRES DISCLOSURE STATEMENT),7:00 pm Second Monday of every month,"Whitted Building, Room 230",echeek@orangecountync.gov,https://www4.orangecountync.gov/boards/indivbd.asp?BoardID=46,https://www.orangecountync.gov/1184/Orange-County-Board-of-Adjustment-BOA
Orange County Housing Authority,6:00 pm Third Wednesday of every month,Southern Human Services Center,brosser@orangecountync.gov,https://www4.orangecountync.gov/boards/indivbd.asp?BoardID=1258144698,https://www.orangecountync.gov/1731/Housing-Authority-Board
Orange County Parks and Recreation Council,6:30 pm First Wednesday of every month,Bonnie B. Davis Environment & Agricultural Center,"dstancil@orangecountync, kallen@orangecountync.gov",https://www4.orangecountync.gov/boards/indivbd.asp?BoardID=44,https://www.orangecountync.gov/810/Parks-Recreation-Council
Orange County Planning Board (REQUIRES DISCLOSURE STATEMENT),7:00 pm First Wednesday of every month,TBD,pholtz@orangecountync.gov,https://www4.orangecountync.gov/boards/indivbd.asp?BoardID=56,https://www.orangecountync.gov/1194/Orange-County-Planning-Board-PB
Orange Unified Transportation Board,6:30 pm Third Wednesday of every month,"West Campus Office Building, Room 204","ntrivedi@orangecountync, eange@orangecountync.gov",https://www4.orangecountync.gov/boards/indivbd.asp?BoardID=1258144670,https://www.orangecountync.gov/1191/Orange-Unified-Transportation-Board-OUTB
Orange Water & Sewer Authority Board of Directors,6:00 pm Second Thursday of every month,OWASA Community Room,info@owasa.org,https://www4.orangecountync.gov/boards/indivbd.asp?BoardID=21,https://www.owasa.org/board-of-directors
GoTriangle Special Tax Board (COMMISSIONERS ONLY),TBD Once every January; more as needed,TBD,mdawson@gotriangle.org,https://www4.orangecountync.gov/boards/indivbd.asp?BoardID=1258144708,
Joint Orange Chatham Community Action Agency (CURRENTLY NOT ACCEPTING APPLICATIONS),12:00 or 4:00 pm second Thursday of each month,alternating locations-Orange/Chatham,sandras@nc.rr.com,https://www4.orangecountync.gov/boards/indivbd.asp?BoardID=43,https://www.needhelppayingbills.com/html/joint_orange-chatham_community.html
Orange County Climate Council,TBA TBA,TBA,bbouma@orangecountync.gov,https://www4.orangecountync.gov/boards/indivbd.asp?BoardID=1258144716,
Solid Waste Advisory Group (SWAG),,,,https://www4.orangecountync.gov/boards/indivbd.asp?BoardID=1258144710,
Workforce Development Board - Regional Partnership,day-time meeting quarterly,Rotates between participating counties,KWilkins@REGIONALCS.ORG,https://www4.orangecountync.gov/boards/indivbd.asp?BoardID=29,https://regionalpartnershipwdb.org/about-us/our-board/
